"Enrichment","Region","Position","FileName"
-2.23926440917059,"CAU",33,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_18.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
0.820200955552854,"CAU",34,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_18.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-2.28229022249635,"CAU",35,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_19.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
0.707616323239005,"CAU",36,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_19.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
0.654703435387643,"CAU",37,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_1.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
1.63177604439578,"CAU",38,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_1.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-0.509853874453964,"CAU",39,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_20.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
3.57231184351935,"CAU",40,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_20.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
0.602348114537249,"CAU",41,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_21.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-1.90428813379626,"CAU",42,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_22.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
1.26229860028623,"CAU",43,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_22.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
0.947373194820404,"CAU",44,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_23.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
3.33586344917737,"CAU",45,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_23.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
3.1763502630951,"CAU",46,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_24.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-1.91452138183566,"CAU",47,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_24.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
1.68116043225394,"CAU",48,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_25.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
1.99751666757748,"CAU",49,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_25.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-2.13887742254617,"CAU",50,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_26.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
1.94269973542514,"CAU",51,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_26.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-0.534071066596195,"CAU",52,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_26.rep3.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
1.97789713380034,"CAU",53,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_27.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
0.781587693432906,"CAU",54,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_27.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
0.311991183958721,"CAU",55,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_28.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-0.0651406870374893,"CAU",56,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_28.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-1.1988994743513,"CAU",57,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_29.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
2.20090540776947,"CAU",58,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_29.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-1.56220592857579,"CAU",59,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_2.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
0.428487843483506,"CAU",60,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_30.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-0.59708349890865,"CAU",61,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_30.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-2.09783025245933,"CAU",62,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_31.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
-1.27514834301361,"CAU",63,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_31.rep2.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
0.884729493695049,"CAU",64,"/data/rusers/sheddn/LDR/Corces_Montine_33106633/33106633_CAU_Mixed_Adult_32.rep1.pval0.01.300K.bfilt.narrowPeak.gzL2_0"
